id,beat_id,line_order,speaker_key,text_key
vnbline_feat_point_5,vnbeat_feat_point,5,ui.vn.speakerTheo,vn.featPoint.beat05
vnbline_feat_point_6,vnbeat_feat_point,6,ui.vn.speakerMarta,vn.featPoint.beat06
vnbline_feat_point_7,vnbeat_feat_point,7,ui.vn.speakerMarta,vn.featPoint.beat07
vnbline_feat_point_8,vnbeat_feat_point,8,ui.vn.speakerTheo,vn.featPoint.beat08
vnbline_feat_tourwin_1,vnbeat_feat_tourwin,1,ui.vn.speakerNarration,vn.featTourWin.beat01
vnbline_feat_tourwin_2,vnbeat_feat_tourwin,2,ui.vn.speakerTheo,vn.featTourWin.beat02
vnbline_feat_tourwin_3,vnbeat_feat_tourwin,3,ui.vn.speakerMarta,vn.featTourWin.beat03
vnbline_feat_tourwin_4,vnbeat_feat_tourwin,4,ui.vn.speakerMarta,vn.featTourWin.beat04
vnbline_feat_tourwin_5,vnbeat_feat_tourwin,5,ui.vn.speakerTheo,vn.featTourWin.beat05
vnbline_feat_tourwin_6,vnbeat_feat_tourwin,6,ui.vn.speakerVane,vn.featTourWin.beat06
vnbline_feat_tourwin_7,vnbeat_feat_tourwin,7,ui.vn.speakerMarta,vn.featTourWin.beat07
vnbline_feat_tourwin_8,vnbeat_feat_tourwin,8,ui.vn.speakerTheo,vn.featTourWin.beat08
vnbline_feat_finish_9,vnbeat_feat_finish,9,ui.vn.speakerMarta,vn.featFinish.beat09
vnbline_feat_point_9,vnbeat_feat_point,9,ui.vn.speakerMarta,vn.featPoint.beat09
vnbline_feat_tourwin_9,vnbeat_feat_tourwin,9,ui.vn.speakerMarta,vn.featTourWin.beat09
